,open,high,low,close,volume,EMA_5,EMA_20,RSI,Signal
2025-05-22 16:00:00,201.37,202.185,201.08,201.77,10587993.0,201.77,201.77,,0
2025-05-22 17:00:00,201.75,201.9,201.45,201.77,31768.0,201.77,201.77,,0
2025-05-22 18:00:00,201.79,201.9325,201.01,201.24,75599.0,201.51894736842107,201.57538717735218,,-1
2025-05-22 19:00:00,201.2,201.7,201.1,201.5,42661.0,201.51107692307693,201.5536240648379,,-1
2025-05-23 04:00:00,202.48,202.48,201.6,201.78,43905.0,201.61431279620854,201.60838247713622,,0
2025-05-23 05:00:00,201.77,201.8,201.0,201.49,36089.0,201.56888721804515,201.58340918186457,,-1
2025-05-23 06:00:00,201.5,201.58,201.17,201.47,31688.0,201.53387566779992,201.56196631265652,,-1
2025-05-23 07:00:00,201.42,201.65,193.22,194.81,1880673.0,199.20158128469473,200.39485500830096,,-1
2025-05-23 08:00:00,193.68,201.9502,193.13,194.9,2615013.0,197.7294267383027,199.51345339643848,,-1
2025-05-23 09:00:00,194.89,201.36,193.2,196.37,16268102.0,197.2682876346403,199.04007655243728,,-1
2025-05-23 10:00:00,196.34,197.7,195.69,195.9301,11742664.0,196.81700783499625,198.59630521252268,,-1
2025-05-23 11:00:00,195.94,197.125,195.8,196.2001,6496040.0,196.6097746721786,198.26987459808643,,-1
2025-05-23 12:00:00,196.2,196.67,195.635,196.1,6218320.0,196.43897215866787,197.98591606286152,,-1
2025-05-23 13:00:00,196.1,196.6724,195.58,195.98,6375557.0,196.2854555699731,197.7324439822561,,-1
2025-05-23 14:00:00,195.97,196.53,195.0,195.525,6456962.0,196.03139018145885,197.46192602359676,21.574874829312563,-1
2025-05-23 15:00:00,195.52,195.97,195.01,195.34,12102926.0,195.80057538623007,197.20880095856927,21.21754700089511,-1
2025-05-23 16:00:00,195.33,197.5887,195.14,195.2694,13673342.0,195.62333703445287,196.9828831600287,22.12761189849293,-1
2025-05-23 17:00:00,195.27,206.977,195.1,195.53,359499.0,195.59220362354014,196.81716072194934,22.13197400851442,-1
2025-05-23 18:00:00,195.45,195.55,195.32,195.48,55920.0,195.55478553665677,196.6674565066236,19.946189367629614,-1
